               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.045587,            0.014267,            0.011075,             0.61731,             0.53295,             0.55142,             0.28878,            0.029681,           0.0084081,           0.0097231,           0.0078963,           0.0078963,           0.0078963
                  87,            0.040142,            0.017465,            0.018587,             0.78871,               0.478,             0.60453,             0.31696,            0.024039,            0.008615,             0.01021,           0.0078715,           0.0078715,           0.0078715
                  88,            0.038382,            0.014951,            0.014908,             0.54861,             0.59185,             0.61329,             0.28198,            0.025788,           0.0085804,            0.010486,           0.0078467,           0.0078467,           0.0078467
                  89,            0.039896,            0.014679,            0.016178,             0.61375,             0.50196,              0.5663,             0.21082,            0.028015,           0.0085781,             0.01042,            0.007822,            0.007822,            0.007822
                  90,            0.037678,            0.016706,            0.012273,             0.45875,             0.61457,             0.55861,             0.21519,            0.030759,           0.0086093,             0.01055,           0.0077973,           0.0077973,           0.0077973
                  91,            0.039623,             0.01339,            0.009741,             0.53843,             0.42829,             0.46925,              0.1845,            0.033528,           0.0083446,            0.011119,           0.0077725,           0.0077725,           0.0077725
                  92,             0.04702,            0.015374,            0.011117,             0.64099,             0.45179,              0.4932,             0.23895,            0.028301,           0.0081703,            0.011218,           0.0077478,           0.0077478,           0.0077478
                  93,            0.043567,            0.016775,            0.011848,             0.55197,             0.48126,             0.50866,             0.17748,            0.033429,           0.0082181,            0.011421,            0.007723,            0.007723,            0.007723
                  94,            0.048333,            0.017706,            0.011298,             0.80419,              0.3733,             0.49519,              0.2286,            0.031495,           0.0088383,            0.012623,           0.0076983,           0.0076983,           0.0076983
                  95,            0.043401,            0.017277,            0.013972,             0.76008,             0.40299,             0.48515,             0.23524,            0.031047,           0.0091272,            0.012106,           0.0076735,           0.0076735,           0.0076735
                  96,            0.039738,              0.0161,            0.012415,             0.70168,             0.40031,             0.45391,             0.22191,            0.029257,           0.0098308,            0.012041,           0.0076488,           0.0076488,           0.0076488
                  97,            0.047236,            0.016811,            0.017866,             0.65592,             0.42339,             0.47572,             0.21431,            0.027485,           0.0097567,            0.011936,            0.007624,            0.007624,            0.007624
                  98,            0.041172,            0.015909,            0.010324,             0.62497,             0.42841,             0.49749,             0.22199,             0.02831,           0.0084309,            0.011401,           0.0075993,           0.0075993,           0.0075993
                  99,             0.04153,             0.01445,            0.018876,              0.7856,             0.37102,              0.4871,             0.19889,             0.03282,           0.0081232,            0.009202,           0.0075745,           0.0075745,           0.0075745
                 100,            0.050878,            0.017877,            0.011913,             0.56549,             0.46128,             0.50289,             0.25405,            0.029903,           0.0079405,           0.0090671,           0.0075498,           0.0075498,           0.0075498
                 101,            0.035747,             0.01207,            0.011421,             0.66152,             0.46513,             0.54331,             0.22826,            0.028713,           0.0077688,           0.0088843,            0.007525,            0.007525,            0.007525
                 102,            0.035518,            0.014517,             0.01335,             0.74455,             0.40341,             0.54554,             0.27244,            0.032777,           0.0077886,           0.0090762,           0.0075003,           0.0075003,           0.0075003
                 103,            0.034084,             0.01504,            0.013398,             0.57857,             0.52874,             0.58627,             0.28109,            0.031143,           0.0078744,           0.0099136,           0.0074755,           0.0074755,           0.0074755
                 104,            0.045451,            0.015828,            0.013884,             0.63746,             0.45192,             0.57599,              0.2641,            0.034529,           0.0078239,            0.009433,           0.0074507,           0.0074507,           0.0074507
                 105,            0.041447,            0.014695,            0.010708,              0.6466,             0.46944,             0.58164,             0.24495,            0.033048,            0.007885,           0.0093363,            0.007426,            0.007426,            0.007426
                 106,            0.033814,            0.014006,            0.012492,             0.71086,             0.42837,             0.57154,               0.237,            0.026653,           0.0079764,           0.0094039,           0.0074013,           0.0074013,           0.0074013
                 107,            0.043795,            0.014914,           0.0096873,             0.50198,             0.37841,             0.41298,             0.15043,             0.04042,           0.0077092,           0.0095763,           0.0073765,           0.0073765,           0.0073765
                 108,            0.047889,             0.01336,            0.008085,             0.51289,             0.44886,              0.4642,             0.21116,            0.029046,           0.0076353,           0.0098188,           0.0073517,           0.0073517,           0.0073517
                 109,            0.043688,            0.011995,             0.01172,             0.48864,             0.52027,             0.51442,             0.21773,            0.033017,           0.0075568,           0.0095499,            0.007327,            0.007327,            0.007327
                 110,            0.039863,            0.014046,            0.009291,             0.71909,             0.40561,             0.51865,             0.17412,            0.037122,           0.0073846,             0.01024,           0.0073023,           0.0073023,           0.0073023
                 111,            0.033967,            0.014438,           0.0072118,             0.63838,             0.47614,             0.56008,              0.2137,            0.029484,           0.0074213,            0.010281,           0.0072775,           0.0072775,           0.0072775
                 112,            0.040866,            0.015762,            0.011447,             0.60193,             0.45338,             0.53813,             0.27505,             0.02796,           0.0074434,           0.0097896,           0.0072527,           0.0072527,           0.0072527
                 113,             0.03928,            0.013866,           0.0086883,             0.71272,             0.42772,             0.54763,             0.29639,            0.029294,           0.0074441,             0.01136,            0.007228,            0.007228,            0.007228
                 114,            0.046729,            0.015445,            0.010193,              0.8131,               0.451,             0.58293,             0.26945,            0.029715,           0.0074166,            0.011504,           0.0072033,           0.0072033,           0.0072033
                 115,             0.04391,            0.016387,            0.013351,             0.50707,             0.63864,             0.55796,             0.22685,            0.029284,            0.007422,            0.010846,           0.0071785,           0.0071785,           0.0071785
                 116,            0.046489,            0.014536,            0.010388,             0.63211,             0.59861,             0.60102,             0.27302,            0.028068,           0.0073965,             0.01079,           0.0071538,           0.0071538,           0.0071538
                 117,            0.038119,            0.013654,            0.014279,              0.6637,             0.61585,             0.66103,             0.32526,            0.027112,           0.0076705,            0.010495,            0.007129,            0.007129,            0.007129
                 118,            0.035329,            0.013537,           0.0091742,             0.73898,             0.55554,             0.62742,             0.31533,            0.026188,           0.0079634,            0.010733,           0.0071042,           0.0071042,           0.0071042
                 119,            0.045206,            0.016114,            0.015036,             0.79128,             0.58091,             0.62856,             0.32861,            0.026558,           0.0078799,            0.011541,           0.0070795,           0.0070795,           0.0070795
                 120,            0.036624,            0.014084,           0.0099838,             0.73891,              0.5464,             0.62444,             0.34669,             0.02572,           0.0079141,            0.011658,           0.0070547,           0.0070547,           0.0070547
                 121,             0.04138,            0.014501,           0.0084382,             0.89951,             0.50032,             0.60494,             0.33895,            0.026441,            0.008072,            0.011627,             0.00703,             0.00703,             0.00703
                 122,            0.039183,            0.014123,            0.013603,             0.71794,             0.42561,             0.50758,             0.22698,            0.034741,           0.0083817,             0.01164,           0.0070053,           0.0070053,           0.0070053
                 123,            0.047855,            0.012902,           0.0086898,             0.57849,             0.59496,             0.59067,             0.23448,            0.031357,           0.0082802,            0.010809,           0.0069805,           0.0069805,           0.0069805
                 124,            0.041928,            0.014517,             0.01586,             0.60348,             0.61093,             0.63983,             0.29518,            0.031793,           0.0081773,            0.010291,           0.0069558,           0.0069558,           0.0069558
                 125,            0.032565,            0.014203,            0.009112,             0.76069,             0.52683,             0.62069,             0.30834,            0.025819,           0.0080847,            0.010252,            0.006931,            0.006931,            0.006931
                 126,            0.047285,            0.012776,           0.0087313,             0.72252,              0.5273,             0.63617,             0.30384,            0.027875,           0.0078776,            0.010062,           0.0069063,           0.0069063,           0.0069063
                 127,            0.036193,            0.015603,           0.0090177,             0.68933,             0.64179,             0.65732,             0.32818,            0.026083,           0.0077963,           0.0096213,           0.0068815,           0.0068815,           0.0068815
                 128,            0.040897,            0.014745,            0.009508,             0.70497,             0.58113,             0.62677,             0.33289,            0.025353,           0.0077571,            0.009831,           0.0068568,           0.0068568,           0.0068568
                 129,            0.040805,            0.015427,             0.01326,             0.85585,             0.43076,             0.55367,             0.28902,            0.027228,           0.0078028,            0.011533,            0.006832,            0.006832,            0.006832
                 130,            0.038806,             0.01357,            0.011193,             0.72239,             0.48517,             0.54778,             0.30047,             0.02624,           0.0081874,            0.013043,           0.0068073,           0.0068073,           0.0068073
                 131,            0.046109,            0.011916,            0.010935,             0.64019,             0.50535,             0.52995,             0.25256,            0.028358,           0.0082455,            0.012716,           0.0067825,           0.0067825,           0.0067825
                 132,            0.040785,            0.013864,           0.0067093,             0.70899,             0.52848,             0.57568,             0.28738,            0.027122,           0.0082879,            0.012781,           0.0067577,           0.0067577,           0.0067577
                 133,            0.044635,            0.014018,            0.014962,             0.70052,             0.48674,             0.58058,             0.33571,            0.025601,           0.0082575,            0.012757,            0.006733,            0.006733,            0.006733
                 134,            0.045997,            0.013454,           0.0096346,             0.69991,             0.46784,             0.58709,             0.31513,            0.028659,           0.0082711,            0.012775,           0.0067082,           0.0067082,           0.0067082
                 135,            0.037131,            0.012546,           0.0055367,             0.66666,              0.4875,             0.57287,             0.29843,             0.02635,           0.0082904,            0.012726,           0.0066835,           0.0066835,           0.0066835
                 136,            0.038305,            0.014936,           0.0049653,             0.60381,              0.5018,             0.58615,             0.30293,            0.026825,           0.0083477,            0.012604,           0.0066587,           0.0066587,           0.0066587
                 137,            0.026169,            0.012338,           0.0070492,             0.77741,             0.40568,             0.57524,             0.30259,             0.02687,           0.0083124,             0.01253,            0.006634,            0.006634,            0.006634
                 138,            0.031902,            0.013403,           0.0083361,             0.75688,             0.44524,             0.58721,             0.32714,            0.027501,           0.0080247,            0.012777,           0.0066092,           0.0066092,           0.0066092
                 139,            0.049791,            0.014226,           0.0094055,              0.7055,             0.54454,             0.59409,             0.30063,            0.025432,           0.0080101,            0.012812,           0.0065845,           0.0065845,           0.0065845
                 140,            0.039234,             0.01275,           0.0066674,             0.67185,               0.569,             0.60023,             0.35939,            0.032108,           0.0079446,            0.011908,           0.0065598,           0.0065598,           0.0065598
                 141,            0.041342,            0.014201,            0.014091,             0.66905,             0.55164,             0.60431,             0.33982,            0.029672,           0.0081817,             0.01021,            0.006535,            0.006535,            0.006535
                 142,            0.035903,            0.013733,           0.0092283,               0.788,             0.60694,             0.63181,             0.39147,            0.023717,           0.0084187,            0.010185,           0.0065102,           0.0065102,           0.0065102
                 143,            0.039327,            0.014065,           0.0081052,             0.66723,             0.64274,             0.63138,             0.36473,            0.024699,           0.0084621,            0.010495,           0.0064855,           0.0064855,           0.0064855
                 144,            0.038056,            0.013133,           0.0082883,             0.68211,             0.61498,             0.63508,             0.35067,            0.023537,           0.0085314,            0.010557,           0.0064608,           0.0064608,           0.0064608
                 145,            0.041821,              0.0127,           0.0091018,              0.8479,             0.51754,             0.63319,             0.35862,            0.023977,           0.0085779,            0.010411,            0.006436,            0.006436,            0.006436
                 146,            0.037482,            0.012773,            0.010776,             0.61615,             0.64716,             0.63985,             0.32432,            0.026149,           0.0082705,            0.010083,           0.0064112,           0.0064112,           0.0064112
                 147,            0.036849,            0.014852,           0.0064025,             0.60701,             0.60545,             0.63677,             0.24955,            0.032441,           0.0081559,            0.010064,           0.0063865,           0.0063865,           0.0063865
                 148,            0.035837,            0.012907,           0.0062399,             0.75553,             0.58217,             0.68302,             0.31976,            0.027062,           0.0080776,            0.010538,           0.0063618,           0.0063618,           0.0063618
                 149,            0.036143,            0.011962,            0.006522,             0.83948,             0.55046,             0.69783,             0.35202,            0.027119,           0.0078597,            0.011041,            0.006337,            0.006337,            0.006337
                 150,            0.035194,            0.011843,            0.006174,             0.87426,             0.50813,             0.69035,             0.33499,            0.029393,           0.0078241,            0.011581,           0.0063122,           0.0063122,           0.0063122
                 151,            0.041657,            0.014685,           0.0097034,             0.73664,             0.60032,              0.6548,             0.30921,            0.028543,           0.0083227,            0.011539,           0.0062875,           0.0062875,           0.0062875
                 152,            0.048684,            0.013272,            0.007506,             0.79212,             0.60914,             0.68752,             0.31854,            0.028076,           0.0083685,            0.011571,           0.0062628,           0.0062628,           0.0062628
                 153,            0.036369,             0.01298,           0.0066604,             0.81819,             0.62917,             0.69753,             0.31992,            0.028001,           0.0083501,            0.011788,            0.006238,            0.006238,            0.006238
                 154,            0.036918,            0.013332,           0.0079663,             0.80614,             0.54714,             0.62971,              0.2936,            0.032548,           0.0082594,            0.011741,           0.0062132,           0.0062132,           0.0062132
                 155,            0.036884,            0.011312,           0.0043421,             0.57335,              0.6403,             0.59766,             0.27627,            0.030073,           0.0080261,            0.011588,           0.0061885,           0.0061885,           0.0061885
                 156,             0.05029,            0.012168,            0.011547,             0.71048,             0.51517,             0.58865,             0.31121,            0.026719,           0.0082003,            0.011524,           0.0061637,           0.0061637,           0.0061637
                 157,             0.02903,            0.012244,           0.0057107,             0.65977,             0.55966,             0.61272,             0.32145,            0.028862,           0.0080997,             0.01118,            0.006139,            0.006139,            0.006139
                 158,            0.040137,             0.01235,           0.0062066,             0.70089,             0.51734,             0.60012,             0.34452,            0.026664,           0.0081253,            0.011264,           0.0061142,           0.0061142,           0.0061142
